questionId,question,option1,option2,option3,option4,correct_answer,category
1,"What is the result of 15 + 27?",40,42,43,41,B,math
2,"If x = 5 and y = 3, what is x² + y²?",34,28,32,30,A,math
3,"What is the square root of 144?",10,12,14,16,B,math
4,"If 3x + 7 = 22, what is x?",3,5,7,9,B,math
5,"What is 25% of 80?",15,20,25,30,B,math
6,"What is the value of π (pi) to two decimal places?",3.12,3.14,3.16,3.18,B,math
7,"What is the area of a circle with radius 5?",25π,50π,75π,100π,A,math
8,"If a triangle has angles 45°, 45°, and 90°, what type is it?",Equilateral,Isosceles,Right,Scalene,C,math
9,"What is the slope of the line y = 2x + 3?",1,2,3,4,B,math
10,"What is the perimeter of a square with side length 6?",12,18,24,36,C,math
11,"What is the volume of a cube with side length 4?",16,32,48,64,D,math
12,"If 2x - 5 = 11, what is x?",6,7,8,9,C,math
13,"What is the greatest common factor of 12 and 18?",2,3,6,9,C,math
14,"What is the least common multiple of 4 and 6?",8,12,16,24,B,math
15,"What is the value of 2³ × 2²?",8,16,32,64,C,math
16,"What is the decimal equivalent of 3/4?",0.25,0.5,0.75,1.0,C,math
17,"If a rectangle has length 8 and width 6, what is its area?",14,24,48,56,C,math
18,"What is the circumference of a circle with diameter 10?",10π,20π,25π,100π,A,math
19,"What is the value of (-3)²?",-9,-6,6,9,D,math
20,"What is the sum of the first 10 natural numbers?",45,50,55,60,C,math
21,"What is the chemical symbol for gold?",Ag,Au,Fe,Cu,B,science
22,"What is the atomic number of carbon?",4,6,8,12,B,science
23,"What is the chemical formula for water?",H2O,CO2,O2,NaCl,A,science
24,"What is the largest planet in our solar system?",Earth,Jupiter,Mars,Saturn,B,science
25,"What is the hardest natural substance on Earth?",Diamond,Graphite,Quartz,Steel,A,science
26,"What is the process by which plants make food?",Photosynthesis,Respiration,Fermentation,Digestion,A,science
27,"What is the main component of the sun?",Liquid hydrogen,Plasma,Solid rock,Gas,B,science
28,"What is the chemical symbol for iron?",Fe,Ir,I,In,A,science
29,"What is the smallest unit of life?",Atom,Cell,Molecule,Organ,B,science
30,"What is the chemical symbol for oxygen?",O,Ox,O2,Ox2,A,science
31,"What is the study of fossils called?",Archaeology,Geology,Paleontology,Anthropology,C,science
32,"What is the chemical symbol for silver?",Ag,Au,Si,Sl,A,science
33,"What is the largest organ in the human body?",Brain,Heart,Liver,Skin,D,science
34,"What is the chemical symbol for nitrogen?",N,Ni,Na,Ne,A,science
35,"What is the process of cell division called?",Mitosis,Meiosis,Both A and B,None of the above,C,science
36,"What is the chemical symbol for copper?",Co,Cu,Ca,Cp,B,science
37,"What is the study of weather called?",Meteorology,Geology,Astronomy,Biology,A,science
38,"What is the chemical symbol for sodium?",Na,So,Sa,Sn,A,science
39,"What is the chemical symbol for chlorine?",Cl,Ch,Cr,Co,A,science
40,"What is the chemical symbol for calcium?",Ca,Cl,Co,Cu,A,science
41,"What is the chemical symbol for potassium?",K,P,Po,Pr,A,science
